Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:27:15.721330,15:27:20.784485,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,15:27:27.026126,15:27:44.089475,-1,-1.0
